,index,index.1,TimeStamp (sec), Horizontal (meters), Cadence (stokes/min), HRCur (bpm), longitude, latitude, Stroke500mPace (sec/500m), Power (watts), DragFactor, DriveLength (meters), StrokeDistance (meters), DriveTime (ms), StrokeRecoveryTime (ms), AverageDriveForce (lbs), PeakDriveForce (lbs), lapIdx, WorkoutState, ElapsedTime (sec),cum_dist, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an,originalvelo
24,24,24,1731007363.1,178.10000000000002,19.0,121.0,0.0,0.0,203.65373466451567,38.33797642740228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,75.5,178.10000000000002,2.392344497607656,0.0,0.0,1.0,23,121.06729398127037,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,38.33797642740228,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.392344497607656
25,25,25,1731007366.6,187.7,20.0,121.0,0.0,0.0,190.95507267645328,54.30363792664261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,79.0,187.7,2.686727565824825,0.0,0.0,1.0,25,162.91091377992782,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,54.30363792664261,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.686727565824825
26,26,26,1731007369.6,196.2,20.0,121.0,0.0,0.0,178.96365919973957,63.87208709255002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,82.0,196.2,2.8360748723766305,0.0,0.0,1.0,26,191.61626127765004,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,63.87208709255002,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.8360748723766305
27,27,27,1731007372.1,203.6,20.0,121.0,0.0,0.0,171.37516501631114,63.87208709255002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,84.5,203.6,2.8360748723766305,0.0,0.0,1.0,26,191.61626127765004,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,63.87208709255002,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.8360748723766305
28,28,28,1731007375.1,212.6,21.0,121.0,0.0,0.0,170.5059487151781,74.07849915518085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,87.5,212.6,2.9797377830750893,0.0,0.0,1.0,27,211.65285472908812,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,74.07849915518085,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.9797377830750893
29,29,29,1731007378.1,221.0,20.0,122.0,0.0,0.0,171.6230392684118,72.38310709388985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,90.5,221.0,2.9568302779420463,0.0,0.0,1.0,28,217.14932128166956,122.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,72.38310709388985,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.9568302779420463
30,30,30,1731007381.1,229.5,20.0,122.0,0.0,0.0,174.0466432601804,62.26912662727781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,93.5,229.5,2.81214848143982,0.0,0.0,1.0,29,186.8073798818334,122.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,62.26912662727781,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.81214848143982
31,31,31,1731007384.1,237.7,21.0,124.0,0.0,0.0,179.28559787998955,61.64296135277418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,96.5,237.7,2.802690582959641,0.0,0.0,1.0,30,176.12274672221196,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,61.64296135277418,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.802690582959641
32,32,32,1731007387.1,245.9,20.0,124.0,0.0,0.0,181.9931114924706,58.63490099439336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,99.5,245.9,2.7563395810363835,0.0,0.0,1.0,31,175.9047029831801,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,58.63490099439336,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.7563395810363835
33,33,33,1731007390.6,255.6,20.0,124.0,0.0,0.0,181.6554018776783,56.6447727202335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,103.0,255.6,2.7247956403269757,0.0,0.0,1.0,33,169.93431816070049,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,56.6447727202335,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.7247956403269757
34,34,34,1731007393.6,263.90000000000003,20.0,124.0,0.0,0.0,181.0172669098983,59.8141154205792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,106.0,263.90000000000003,2.774694783573807,0.0,0.0,1.0,34,179.44234626173758,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,59.8141154205792,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.774694783573807
35,35,35,1731007396.6,272.40000000000003,21.0,124.0,0.0,0.0,178.768571996593,61.85074644117415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,109.0,272.40000000000003,2.8058361391694726,0.0,0.0,1.0,35,176.71641840335474,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,61.85074644117415,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.8058361391694726
36,36,36,1731007399.6,280.90000000000003,20.0,125.0,0.0,0.0,176.4883518307444,63.43930198266743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,112.0,280.90000000000003,2.829654782116582,0.0,0.0,1.0,36,190.3179059480023,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,63.43930198266743,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.829654782116582
37,37,37,1731007402.6,289.5,20.0,125.0,0.0,0.0,173.1846029325784,66.66819975588953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,115.0,289.5,2.87686996547756,0.0,0.0,1.0,37,200.0045992676686,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,66.66819975588953,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.87686996547756
38,38,38,1731007405.6,298.3,20.0,125.0,0.0,0.0,170.69443920264283,69.14442332071556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,118.0,298.3,2.9120559114735003,0.0,0.0,1.0,38,207.43326996214668,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,69.14442332071556,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.9120559114735003
39,39,39,1731007408.6,307.40000000000003,20.0,125.0,0.0,0.0,169.7070847944699,76.37639348208911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,121.0,307.40000000000003,3.0102347983142685,0.0,0.0,1.0,39,229.12918044626736,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,76.37639348208911,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,3.0102347983142685
